ID,Titolo,Posizione,Descrizione,Principi_Violati,Num_Valutatori,Severità,Valutatori
P13,Assenza shortcut area personale,Homepage,"Dalle card delle visite in Homepage manca un collegamento diretto (shortcut) che indirizzi l'utente alla propria area personale/dashboard, compromettendo la libertà di navigazione e obbligando l'operatore a passaggi ridondanti per tornare all'hub di controllo centrale.","1, 4",1,1,M
P14,Incoerenza linguistica,Footer,"Presenza della dicitura in italiano ""Sito di visite guidate"" nel footer, in contrasto con l'interfaccia localizzata interamente in inglese.",2,2,1,"M,G"
P15,Visibilità ridotta logo,Header/Navbar,"Scarsa visibilità e contrasto insufficiente del logo istituzionale (Unibs), che ne compromettono la riconoscibilità.",2,1,1,G
P16,Mancanza toggle visibilità password,Login/Register,"Assenza dell'icona per visualizzare temporaneamente la password (eye-icon) nei form di login e registrazione, aumentando la probabilità di errori di digitazione.",7,1,1,M
P17,"Navigazione ambigua verso ""Register""",Login,"Presenza di molteplici punti di accesso (link/pulsanti) alla pagina di registrazione, causa di disorientamento nel percorso utente.","4, 7",1,1,G
P18,Ridondanza informativa Ruoli,Login,"L'indicazione testuale specifica del ruolo ""User/Fruitore only"" risulta ridondante, aumentando il rumore visivo dell'interfaccia.",8,1,1,G
P19,Feedback di errore non user-friendly,Login,Il messaggio di errore in caso di credenziali errate è eccessivamente tecnico (espone dettagli di sistema) e poco informativo per l'utente.,"1, 3, 5",3,1,"D, G, M"
P20,Assenza recupero password,Login,"Manca una funzionalità o un meccanismo chiaro per il recupero delle credenziali (""Password dimenticata"") in caso di smarrimento.","3, 9",2,3,"M,G"
P21,Carico cognitivo posti disponibili,Tour Registration (Register form),"In fase di iscrizione manca il conteggio esplicito dei posti residui, imponendo all'utente un calcolo non necessario.","1, 6",3,2,"D, G, M"
P22,"Navigazione ridondante verso ""Login""",Register,"Presenza eccessiva di link per tornare alla fase di login all'interno della pagina di registrazione, fonte di distrazione e disordine.","4, 7",1,1,G
P23,Ridondanza informativa Ruoli,Register,"L'indicazione testuale specifica del ruolo ""User/Fruitore only"" risulta ridondante e appesantisce l'interfaccia.",8,1,1,G
P24,Validazione tardiva input,Register,"La validazione dei vincoli sullo username avviene solo dopo l'invio del form (server-side), invece che in tempo reale, rallentando l'interazione.",5,1,2,G
P25,"Visibilità ""Booking code""",Dashboard Fruitore,"Scarsa evidenza grafica del ""Booking code"" e assenza di indicazioni contestuali (tooltip o etichette) sulla sua funzione e utilizzo.","1, 6",3,1,"D, G, M"
P26,"Ambiguità etichetta ""Participant""",Dashboard Fruitore,"L'etichetta ""Participant"" non chiarisce se il contatore si riferisca agli iscritti del proprio sottogruppo o al totale dei partecipanti alla visita.","1, 6",2,2,"D,G"
P27,"Affordance ingannevole ""My Booking""",Dashboard Fruitore,"Violazione dell'affordance: elementi grafici nella sezione ""My Booking"" suggeriscono interattività (appaiono cliccabili) ma non producono alcuna azione.",3,1,2,D
P28,Stile pulsante eliminazione,Dashboard Fruitore,Il pulsante per l'eliminazione della prenotazione presenta uno stile incoerente rispetto al Design System globale del sito.,4,1,1,G
P29,Inconsistenza terminologica,My Past Visits (Fruitore),"Incongruenza nell'uso dei termini ""Registrations"" e ""Participants"" rispetto alle altre sezioni del sito, creando confusione semantica.","1, 6",2,1,"D,G"
P30,Incoerenza spaziatura Header,General Layout,La spaziatura (padding/margin) tra titolo e header risulta eccessiva e non uniforme rispetto al layout delle altre pagine.,"4, 8",1,1,G
P31,Validazione tardiva aggiunta utente,Admin User Management,"La validazione della lunghezza dello username in fase di ""aggiunta utente"" avviene solo post-invio, rallentando il completamento del task.",5,1,2,G
P32,Assenza conferma eliminazione,Admin Dashboard (Configurator),"Il sistema esegue l'eliminazione di un oggetto immediatamente al click, senza richiedere una conferma preventiva (dialogo modale) all'utente.","8, 9",3,4,"D, G, M"
P33,Disorganizzazione del layout,Visit Planning,"L'organizzazione della pagina risulta disordinata e ad alto carico cognitivo, rendendo poco intuitiva la modalità di interazione.","2, 8",1,1,G
P34,Flusso inserimento non intuitivo,Add Visit,"La sequenza logica di inserimento dei dati non è chiara, creando confusione sul corretto ordine delle operazioni.","1, 2",1,3,G
P35,Mancanza feedback su vincoli,Add Visit,"Assenza di feedback espliciti o preventivi in caso di errori procedurali (es. ordine errato di inserimento o mancanza di volontari), lasciando l'utente senza indicazioni per la risoluzione.","1, 8",1,3,G
P36,Email non cliccabili,Footer,"Le mail nel footer assecondano un convenzionale stile ipertestuale, suggerendo interattività. La mancata risposta al click costituisce una grave violazione dell'affordance percepita.",4,3,2,"D, G, M"
P37,Mancanza selezione multipla nel calendario,Dashboard Guida / Calendario,"Manca la possibilità di selezionare o deselezionare massivamente i giorni (es. ""Tutti i weekend"", ""Tutto il mese""). L'utente è costretto a cliccare ogni singolo giorno, riducendo l'efficienza.",7 (Flessibilità ed efficienza d'uso),1,2,
P38,Assenza indicazioni operative per Volontari,"Sezione ""Assigned Visits""","Nella pagina operativa delle visite assegnate vi è una carenza documentale (violazione euristica 10); la mancanza di indicazioni e promemoria procedurali (es. controllo biglietti, check-in) aumenta il carico cognitivo dell'operatore, abbandonandolo senza riferimenti operativi al momento del bisogno.",10 (Aiuto e documentazione),1,2,
P39,Ridondanza nome volontario nelle card,"Sezione ""Assigned Visits""","Nelle card delle visite assegnate viene visualizzato il nome del volontario incaricato. Poiché la vista è privata dell'utente loggato, questa informazione è ridondante e occupa spazio inutile.",8 (Estetica e design minimalista),1,1,
P40,Messaggio di stato vuoto senza Call to Action,"Sezione ""My Bookings""","Quando non ci sono prenotazioni, il sistema mostra un messaggio statico (""You have not booked any tours yet"") senza fornire link o suggerimenti per guidare l'utente verso la sezione di prenotazione.",6 (Riconoscimento piuttosto che richiamo),1,2,
P41,Colore bottone non coerente,Profile,,4,3,2,
